date_of_shoot,venue_name,club,town,postcode,lat,long
2024-10-20,Eastwood High School,East Kilbride,Newton Mearns,G77 6NQ,,
2024-12-21,The Time Capsule,Monklands,Coatbridge,ML5 1DL,,
2024-11-24,The Time Capsule, Glasgow (at Monklands),Coatbridge,ML5 1DL,,
